50 2.7588149630966154 2.2246221981646568 211595	50 2.7282564577958421 2.2102953653430228 77419.1 6.66222
55 3.1109861020499836 2.4599632788122703 311141	55 3.0709622056175214 2.4464660510593217 116600 8.28722
60 3.4239774625249817 2.7287747367747972 451401	60 3.3824745552485322 2.7140708320919238 148935 8.605
65 3.8141305215992678 3.0237141923943303 631261	65 3.7642894862791771 3.0084902078696749 201898 9.79222
70 4.3049438649971004 3.3978222788589778 854807	70 4.2413486639801485 3.3815424973002588 284780 11.5978
75 4.7904443414340889 3.7685858391261808 1.1383e+06	75 4.7194415591214032 3.7421837043505981 1.44629e+06 12.5706
80 5.2968677742220169 4.0984476774339873 1.4927e+06	80 5.2132072453639369 4.0783392184376135 471695 13.9061
85 5.9307025862523117 4.5897836490689263 1.94134e+06	85 5.8342947896076698 4.5665267235782805 610725 15.23
90 6.7041561840320893 5.2221344494078421 2.47322e+06	90 6.5831587417620998 5.1676464786634666 800306 17.3644
95 7.4178449403324338 5.7389134007185305 3.10147e+06	95 7.2860456091810635 5.7119489824918617 972019 18.4372
100 8.2311448277848349 6.4193622715974996 3.80919e+06	100 8.0785740283858321 6.3553879867267185 1.17877e+06 19.6411
105 9.3855923914846908 7.1882678033269132 4.42745e+06	105 9.19494513969968 7.1315173745760978 1.46104e+06 22.6078
110 10.310319610001429 7.989481358901279 5.63437e+06	110 10.10540612672998 7.8879831094235877 1.77226e+06 23.3056
115 11.62680137782362 8.9394406624540093 6.9756e+06	115 11.39233198375865 8.8204345608091543 2.15393e+06 24.4544
120 12.969514553384679 9.888228569010117 8.06945e+06	120 12.668354095920284 9.7672795441476872 2.71151e+06 28.5611
125 14.286092462856713 10.991001699318094 9.13393e+06	125 13.973932337787909 10.879721413536167 2.89425e+06 28.5906
130 16.046391032466868 12.270561964834862 1.08106e+07	130 15.686236910143981 12.137079130420993 3.49642e+06 30.8244
135 18.075097613781733 13.701516102122239 1.28045e+07	135 17.661393848447531 13.531234708191572 4.05035e+06 32.4083
140 19.983204432117002 15.099849808073113 1.47231e+07	140 19.511846891291292 14.955377968856009 4.72736e+06 34.1944
145 22.511143211664344 17.057865808130725 1.75437e+07	145 21.972222076615058 16.907030652287943 5.60749e+06 36.1422
